Date: 20240912 19:54:00 Europe/Helsinki, O: 222.21, H: 222.29, L: 222.18, C 222.28
Date: 20240912 19:55:00 Europe/Helsinki, O: 222.28, H: 222.28, L: 222.14, C 222.19
Date: 20240912 19:56:00 Europe/Helsinki, O: 222.19, H: 222.23, L: 222.15, C 222.22
Date: 20240912 19:57:00 Europe/Helsinki, O: 222.22, H: 222.46, L: 222.21, C 222.42
Date: 20240912 19:58:00 Europe/Helsinki, O: 222.42, H: 222.49, L: 222.35, C 222.47
Date: 20240912 19:59:00 Europe/Helsinki, O: 222.47, H: 222.54, L: 222.43, C 222.5
Date: 20240912 20:00:00 Europe/Helsinki, O: 222.5, H: 222.58, L: 222.45, C 222.49
Date: 20240912 20:01:00 Europe/Helsinki, O: 222.49, H: 222.55, L: 222.42, C 222.53
Date: 20240912 20:02:00 Europe/Helsinki, O: 222.53, H: 222.6, L: 222.48, C 222.56
Date: 20240912 20:03:00 Europe/Helsinki, O: 222.56, H: 222.6, L: 222.48, C 222.49
Date: 20240912 20:04:00 Europe/Helsinki, O: 222.49, H: 222.54, L: 222.47, C 222.5
Date: 20240912 20:05:00 Europe/Helsinki, O: 222.5, H: 222.66, L: 222.48, C 222.65
Date: 20240912 20:06:00 Europe/Helsinki, O: 222.65, H: 222.67, L: 222.54, C 222.55
Date: 20240912 20:07:00 Europe/Helsinki, O: 222.55, H: 222.66, L: 222.51, C 222.65
Date: 20240912 20:08:00 Europe/Helsinki, O: 222.65, H: 222.72, L: 222.63, C 222.68
Date: 20240912 20:09:00 Europe/Helsinki, O: 222.68, H: 222.77, L: 222.66, C 222.73
Date: 20240912 20:10:00 Europe/Helsinki, O: 222.73, H: 222.85, L: 222.72, C 222.84
Date: 20240912 20:11:00 Europe/Helsinki, O: 222.84, H: 222.84, L: 222.7, C 222.72
Date: 20240912 20:12:00 Europe/Helsinki, O: 222.72, H: 222.79, L: 222.7, C 222.77
Date: 20240912 20:13:00 Europe/Helsinki, O: 222.77, H: 222.81, L: 222.75, C 222.77
Date: 20240912 20:14:00 Europe/Helsinki, O: 222.77, H: 222.83, L: 222.75, C 222.8
Date: 20240912 20:15:00 Europe/Helsinki, O: 222.8, H: 222.82, L: 222.77, C 222.79
Date: 20240912 20:16:00 Europe/Helsinki, O: 222.79, H: 222.89, L: 222.78, C 222.85
Date: 20240912 20:17:00 Europe/Helsinki, O: 222.85, H: 222.89, L: 222.84, C 222.88
Date: 20240912 20:18:00 Europe/Helsinki, O: 222.88, H: 222.95, L: 222.81, C 222.85
Date: 20240912 20:19:00 Europe/Helsinki, O: 222.85, H: 222.9, L: 222.83, C 222.85
Date: 20240912 20:20:00 Europe/Helsinki, O: 222.85, H: 222.85, L: 222.58, C 222.71
Date: 20240912 20:21:00 Europe/Helsinki, O: 222.71, H: 222.8, L: 222.7, C 222.76
Date: 20240912 20:22:00 Europe/Helsinki, O: 222.76, H: 222.88, L: 222.75, C 222.86
Date: 20240912 20:23:00 Europe/Helsinki, O: 222.86, H: 222.93, L: 222.85, C 222.88
Date: 20240912 20:24:00 Europe/Helsinki, O: 222.88, H: 222.99, L: 222.86, C 222.97
Date: 20240912 20:25:00 Europe/Helsinki, O: 222.97, H: 222.99, L: 222.87, C 222.89
Date: 20240912 20:26:00 Europe/Helsinki, O: 222.89, H: 222.99, L: 222.87, C 222.98
Date: 20240912 20:27:00 Europe/Helsinki, O: 222.98, H: 223.05, L: 222.96, C 223.04
Date: 20240912 20:28:00 Europe/Helsinki, O: 223.04, H: 223.05, L: 222.87, C 222.88
Date: 20240912 20:29:00 Europe/Helsinki, O: 222.88, H: 222.88, L: 222.6, C 222.61
Date: 20240912 20:30:00 Europe/Helsinki, O: 222.61, H: 222.76, L: 222.59, C 222.69
Date: 20240912 20:31:00 Europe/Helsinki, O: 222.69, H: 222.79, L: 222.65, C 222.77
Date: 20240912 20:32:00 Europe/Helsinki, O: 222.77, H: 222.81, L: 222.69, C 222.8
Date: 20240912 20:33:00 Europe/Helsinki, O: 222.8, H: 222.81, L: 222.74, C 222.8
Date: 20240912 20:34:00 Europe/Helsinki, O: 222.8, H: 222.84, L: 222.75, C 222.84
Date: 20240912 20:35:00 Europe/Helsinki, O: 222.84, H: 222.9, L: 222.82, C 222.89
Date: 20240912 20:36:00 Europe/Helsinki, O: 222.89, H: 222.99, L: 222.88, C 222.93
Date: 20240912 20:37:00 Europe/Helsinki, O: 222.93, H: 223.01, L: 222.92, C 223.0
Date: 20240912 20:38:00 Europe/Helsinki, O: 223.0, H: 223.08, L: 222.94, C 223.06
Date: 20240912 20:39:00 Europe/Helsinki, O: 223.06, H: 223.1, L: 223.02, C 223.06
Date: 20240912 20:40:00 Europe/Helsinki, O: 223.06, H: 223.15, L: 223.03, C 223.12
Date: 20240912 20:41:00 Europe/Helsinki, O: 223.12, H: 223.23, L: 223.1, C 223.19
Date: 20240912 20:42:00 Europe/Helsinki, O: 223.19, H: 223.2, L: 223.07, C 223.09
Date: 20240912 20:43:00 Europe/Helsinki, O: 223.09, H: 223.09, L: 223.0, C 223.02
Date: 20240912 20:44:00 Europe/Helsinki, O: 223.02, H: 223.02, L: 222.81, C 222.82
Date: 20240912 20:45:00 Europe/Helsinki, O: 222.82, H: 222.98, L: 222.82, C 222.96
Date: 20240912 20:46:00 Europe/Helsinki, O: 222.96, H: 223.04, L: 222.95, C 223.01
Date: 20240912 20:47:00 Europe/Helsinki, O: 223.01, H: 223.01, L: 222.88, C 222.9
Date: 20240912 20:48:00 Europe/Helsinki, O: 222.9, H: 222.98, L: 222.84, C 222.91
Date: 20240912 20:49:00 Europe/Helsinki, O: 222.91, H: 223.01, L: 222.89, C 223.01
Date: 20240912 20:50:00 Europe/Helsinki, O: 223.01, H: 223.08, L: 223.0, C 223.05
Date: 20240912 20:51:00 Europe/Helsinki, O: 223.05, H: 223.1, L: 223.0, C 223.08
Date: 20240912 20:52:00 Europe/Helsinki, O: 223.08, H: 223.09, L: 223.04, C 223.08
Date: 20240912 20:53:00 Europe/Helsinki, O: 223.08, H: 223.1, L: 223.05, C 223.06
Date: 20240912 20:54:00 Europe/Helsinki, O: 223.06, H: 223.12, L: 223.02, C 223.11
Date: 20240912 20:55:00 Europe/Helsinki, O: 223.11, H: 223.17, L: 223.07, C 223.11
Date: 20240912 20:56:00 Europe/Helsinki, O: 223.11, H: 223.13, L: 222.91, C 222.94
Date: 20240912 20:57:00 Europe/Helsinki, O: 222.94, H: 223.09, L: 222.82, C 223.07
Date: 20240912 20:58:00 Europe/Helsinki, O: 223.07, H: 223.13, L: 223.05, C 223.1
Date: 20240912 20:59:00 Europe/Helsinki, O: 223.1, H: 223.1, L: 223.06, C 223.09
Date: 20240912 21:00:00 Europe/Helsinki, O: 223.09, H: 223.16, L: 223.08, C 223.12
Date: 20240912 21:01:00 Europe/Helsinki, O: 223.12, H: 223.12, L: 223.01, C 223.06
Date: 20240912 21:02:00 Europe/Helsinki, O: 223.06, H: 223.17, L: 223.06, C 223.12
Date: 20240912 21:03:00 Europe/Helsinki, O: 223.12, H: 223.14, L: 223.06, C 223.09
